batch_size,nodes,threads_per_node,effective_parallelism,is_oversubscribed,best_time_seconds,avg_time_seconds,best_throughput,avg_throughput
1000,1,1,1,False,0.09879321399967012,0.1005306936664662,10122.152721980876,9949.108489031096
1000,1,2,2,False,0.07361088499965263,0.07486402933318459,13584.94738929873,13362.662016116623
1000,1,4,4,False,0.05701590300031967,0.0599859116667479,17538.966277433043,16698.38965779205
1000,1,8,8,False,0.05458472699956474,0.05719736099975611,18320.142922176274,17503.67823206302
1000,2,1,2,False,0.05170762199941237,0.05923879733260643,19339.508593362978,17140.5608977395
1000,2,2,4,False,0.03909144899989769,0.03980288833311837,25581.042033070124,25132.371874990215
1000,2,4,8,False,0.03723229600018385,0.038892512666582967,26858.402715617165,25779.489442660957
1000,4,1,4,False,0.03316991600058827,0.03693810933327768,30147.800192869494,27481.120179064183
1000,4,2,8,False,0.029221458000392886,0.03260222433345916,34221.42728082065,30880.26489128412
1000,4,4,16,False,0.024729296000259637,0.029376189666739567,40437.86770110644,34523.10362503357
1000,8,1,8,False,0.0281391700000313,0.04178968333356655,35537.65089726839,25662.270187836835
1000,8,2,16,False,0.022202156000275863,0.03174367700012226,45040.67082438187,36127.3544028558
1000,8,4,32,True,0.01871837799990317,0.0229408306665088,53423.432308353484,44542.12701041079
5000,1,1,1,False,0.4916849809997075,0.49706874000003154,10169.11273115128,10060.226736498544
5000,1,2,2,False,0.3601940279995688,0.36126075733348745,13881.407273098892,13840.610829718069
5000,1,4,4,False,0.2842563530002735,0.2869437806669642,17589.756384425255,17425.825439809123
5000,1,8,8,False,0.26035568400038755,0.2620772833333831,19204.497183140265,19078.933193783356
5000,2,1,2,False,0.2520129349995841,0.26220027933322854,19840.251453792447,19104.097300475245
5000,2,2,4,False,0.18887095999980374,0.19753774999965876,26473.10099977887,25345.62437238797
5000,2,4,8,False,0.160620482000013,0.1687567830000868,31129.280262025335,29665.951796472214
5000,4,1,4,False,0.13173202600046352,0.13543452233352582,37955.84226407029,36946.997753187396
5000,4,2,8,False,0.12128604699955758,0.12490389166669047,41224.85746458732,40071.87471591344
5000,4,4,16,False,0.10265839400017285,0.10563118199994885,48705.22326690189,47359.15458051447
5000,8,1,8,False,0.10849712200069916,0.14076692633382967,46084.17170704104,36609.19891060951
5000,8,2,16,False,0.08302792100039369,0.08784087466695685,60220.705754830255,57015.513490960875
5000,8,4,32,True,0.07526325099934184,0.09128218199960732,66433.48425174624,56871.58156371168
